Country,Continent,Year,Inventory,Exports,Consumption,Government,Household,Imports,Population,Education,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),Calories from animal protein (FAO (2017)),Calories from plant protein (FAO (2017)),Calories from fat (FAO (2017)),Calories from carbohydrates (FAO (2017)),Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent),Smoking,Obesity,Sanitation,Lifetime
Albania,Europe,2008,79.94267680684787,1105.8522415664129,4085.261047688404,453.6164003999167,3631.6446472885145,2279.207316320884,2947314,9.2,21,567,154,5,0,42,71,5,2,23,11,9393,374,365,17,163,0,7,4,3471,8,125,236,12,4,261,583,269,423,16,1,213.16,194.64,858.78,1680.42,0.3,0.58,0.13,3.98,0.47,2.62,1.74,19.1,51.8,0.9745354583868566,77.6529
Albania,Europe,2009,76.06769636687413,1038.4382391447946,3783.857198620299,457.05701431725976,3326.8001843030293,2051.0672050278376,2927519,9.3,17,590,159,5,0,40,62,4,2,19,10,9513,357,335,16,160,0,7,4,3528,0,119,238,11,4,249,578,274,428,15,1,216.12,191.52,917.19,1668.17,0.3,0.58,0.13,4,0.47,2.61,1.74,19.5,52.5,0.9762980189026954,77.781
Albania,Europe,2010,76.98204400408888,1145.578398303308,3654.8986066133407,456.8223447583797,3198.0762618549716,1988.382433030627,2913021,9.3,16,616,166,5,0,41,66,4,2,21,10,9748,351,308,17,160,2,7,5,3617,0,120,247,12,4,252,587,280,436,16,1,225.24,201.56,918.63,1730.57,0.3,0.58,0.13,4.01,0.47,2.61,1.74,19.799999,53.3,0.9775834091137688,77.9359
Albania,Europe,2011,90.84456278848268,1297.4995876012144,3961.230112202761,486.943452501777,3474.286659700984,2306.314338624853,2905195,9.3,13,647,176,5,0,38,65,4,2,22,11,10142,359,293,17,160,0,7,5,3759,0,127,257,12,4,255,616,288,450,16,1,227.64,206.72,924.3,1773.34,0.3,0.58,0.13,4.02,0.48,2.61,1.74,20.1,54,0.9782589464734726,78.0919
Albania,Europe,2012,78.15066861941057,1229.1523657487362,3772.376799526307,460.6457606597053,3311.731038869777,2020.7045316019544,2900401,9.6,13,678,185,5,0,40,64,4,2,23,11,10446,369,269,17,158,0,7,9,3865,0,133,265,12,4,252,639,293,459,16,1,236.84,208.4,953.55,1785.21,0.31,0.58,0.13,4.04,0.48,2.61,1.74,20.5,54.8,0.9793487176428364,78.064
Algeria,Africa,2000,48.69589008125735,740.88822041098,973.9893450604336,239.769278555321,734.22006650554,367.0673790386602,31042238,5.9,586,2219,597,308,0,963,621,1027,123,327,625,64792,5897,13420,89,1591,48,1247,33,12910,2534,2062,4136,449,279,13538,5124,2870,4533,1032,441,74.72,228.76,589.5,1919.02,0.26,0.79,0.19,4.87,0.39,4.38,0.44,15.8,49.5,0.923659982247414,70.4779
Algeria,Africa,2001,81.90167598283047,637.1937099892365,1018.5263950336348,257.18534777662876,761.341047257008,384.2718830735265,31451513,6.1,571,2313,618,283,0,921,627,993,137,341,601,65386,5795,13183,89,1599,921,1147,33,13167,1330,2178,4222,446,255,13410,5179,2911,4600,999,415,77.04,232.36,629.28,1947.32,0.26,0.79,0.19,4.87,0.39,4.37,0.44,15.5,50.2,0.9263789312774874,70.8233
Algeria,Africa,2002,112.93251679349687,631.2211442540082,1059.659370336282,275.94912071174235,783.7102496245406,457.9217851918358,31855110,6.3,556,2411,641,253,0,873,628,982,155,354,585,65986,5696,13010,90,1601,48,1040,34,13499,1597,2300,4326,439,228,13224,5240,2935,4648,987,374,80.12,239.52,588.87,2016.49,0.26,0.8,0.2,4.88,0.4,4.37,0.44,15.2,51,0.9290296909977708,71.2296
Algeria,Africa,2003,131.523220300235,804.5189819953869,1162.8852921102705,311.3719317214002,851.5133603888698,502.202293108982,32264159,6.5,538,2508,655,223,0,815,622,923,175,355,566,66329,5586,12955,89,1554,2329,949,73,13869,932,2415,4422,422,200,12701,5270,2954,4684,920,333,79.56,249.08,548.82,2092.54,0.26,0.8,0.2,4.89,0.4,4.36,0.44,14.4,51.9,0.9316100258494264,71.2868
Algeria,Africa,2004,241.32231329071325,1045.4626860974772,1365.9463421667028,359.49138416769614,1006.4549579990066,669.4650593497253,32692153,6.7,530,2618,683,201,0,783,585,892,196,364,554,67142,5549,12900,90,1547,22,879,33,14377,577,2560,4605,417,178,12535,5353,2988,4747,898,303,87.24,246.52,574.2,2079.04,0.26,0.8,0.2,4.9,0.41,4.35,0.44,13.6,52.7,0.934120582391744,71.7617
Algeria,Africa,2005,289.0847432798126,1469.5423458500525,1407.4861208400282,356.4624692505608,1051.0236515894674,749.427881047867,33149720,6.9,517,2732,714,183,0,748,567,876,217,373,540,67957,5492,12846,90,1537,22,810,33,14916,324,2706,4771,408,162,12320,5437,3021,4801,874,287,87.4,249.04,554.04,2067.52,0.26,0.8,0.2,4.9,0.42,4.34,0.44,12.9,53.5,0.9365594339861694,72.0612
Algeria,Africa,2006,243.6775231426859,1697.9818458611865,1493.6942689786515,390.7139055043656,1102.980363474286,762.5096069167489,33641007,7,503,2847,744,167,0,719,554,867,244,380,524,68935,5423,12801,91,1523,5,762,33,15400,406,2861,4951,399,146,12077,5509,3053,4848,855,278,87.52,247.4,617.94,2094.14,0.26,0.8,0.2,4.9,0.42,4.33,0.44,12.3,54.3,0.9389302466480864,72.3336
Algeria,Africa,2007,321.75848515994215,1859.4339677236228,1711.8489779656709,459.9778614912862,1251.8711164743845,982.4911671627189,34166976,7.2,489,2976,777,153,0,686,535,861,278,386,513,70099,5365,12719,92,1504,82,720,33,15949,700,3016,5133,391,133,11847,5594,3087,4899,842,272,87.64,245.2,603.99,2104.17,0.26,0.8,0.21,4.91,0.43,4.31,0.44,11.8,55,0.9412310296351658,72.6019
Algeria,Africa,2008,399.60211282080206,2362.0306829960864,2136.333902550275,650.2499448415956,1486.0839577086824,1413.632497515949,34730604,6.7,416,3102,809,141,0,660,536,852,297,392,507,71264,5312,12660,92,1487,93,683,33,16524,507,3170,5320,383,122,11643,5679,3121,4950,818,267,85.28,248.52,604.98,2109.22,0.26,0.8,0.21,4.91,0.44,4.29,0.44,11.4,55.8,0.9434652504171824,72.9405
Algeria,Africa,2009,335.51489502267543,1373.5767484349751,2085.4933967735615,626.9650706965117,1458.5283260770498,1396.1395891998818,35333882,6.9,406,3247,844,132,0,636,535,840,318,399,504,72767,5284,12564,93,1474,48,650,33,17155,637,3333,5534,375,113,11450,5788,3161,5015,804,263,91.12,255,588.96,2174.92,0.26,0.8,0.21,4.92,0.45,4.28,0.44,11.1,56.6,0.9456176369185816,73.6196
Algeria,Africa,2010,230.63057036061755,1722.61844088231,2309.723661246087,771.8943096604704,1537.8293515856142,1407.9580590193757,35977451,7.1,399,3401,877,126,0,614,530,809,329,406,499,74239,5274,12387,94,1458,0,621,33,17706,318,3504,5764,370,108,11270,5887,3202,5078,793,260,90.16,253.6,622.26,2175.98,0.26,0.8,0.21,4.92,0.45,4.27,0.44,10.9,57.4,0.9476959610062424,73.8081
Algeria,Africa,2011,348.36664991398044,2116.1558832007163,2828.4899983113864,1127.584753737281,1700.9052445741136,1565.026540232857,36661438,7.4,395,3573,921,123,0,602,527,781,335,418,494,76392,5317,12184,96,1467,10,602,33,18236,342,3685,5991,367,104,11231,6040,3267,5181,791,258,100.12,260.24,682.47,2174.17,0.26,0.8,0.21,4.93,0.46,4.28,0.43,11,58.2,0.9496990543578788,74.1234
Algeria,Africa,2012,467.4632652943932,2063.0015219390866,2933.993426157796,1136.229695872972,1797.7637302848134,1594.590453193558,37383899,7.6,390,3757,963,120,0,588,521,748,343,429,489,78530,5362,11899,98,1468,69,587,33,18795,290,3858,6208,364,101,11152,6198,3336,5289,787,258,100.64,260.08,683.64,2227.64,0.26,0.8,0.21,4.95,0.47,4.29,0.43,11.2,59,0.9516298714588332,74.2024
Angola,Africa,2002,1.4528786994756846,498.0633400860531,529.0668274239617,166.91320885709274,362.15361856686906,420.68837050242365,17519418,4.4,4332,464,121,8540,13391,1291,605,1932,6630,30,17969,15872,21464,19258,126,1220,8,29837,120,6751,600,2053,1449,491,8374,8265,3369,3462,5569,545,616,55.48,116.44,360.18,1382.9,0.21,0.56,0.1,4.02,0.36,5.94,1.17,8.8999996,18.8,0.42836531441854975,47.3865
Angola,Africa,2003,7.631050564263443,533.9575593913603,637.0318465225379,214.81884417747793,422.2130023450616,487.3509753936084,18121477,4.4,4206,487,127,8235,14880,1285,626,2080,7600,32,17889,16344,21048,19651,130,1254,15,27656,121,7018,81,2131,1500,499,8076,8539,3424,3570,5722,551,608,54.2,118.92,389.16,1420.72,0.21,0.56,0.11,4.02,0.36,5.92,1.17,8.8999996,19.4,0.4483608593273054,49.6173
Angola,Africa,2004,3.5901157188394337,733.0064208881073,702.181582672939,179.69722474674458,522.4843579261923,567.5101266794071,18758138,4.4,4401,513,133,8346,16955,1355,659,2107,8557,34,18230,17003,21374,20008,136,1312,28,26567,124,7380,50,2239,1571,525,8189,9112,3518,3732,5973,641,614,50.76,121.08,387.63,1470.53,0.22,0.56,0.11,4.03,0.36,5.91,1.16,8.8999996,20,0.4684054995223939,50.592
Angola,Africa,2005,-4.483367086788673,1246.587407174531,912.8156642483042,304.93980783926645,607.8758564090376,781.2240581502639,19433604,4.4,4359,536,138,7960,17846,1331,672,2205,9398,34,17772,17115,20815,20189,137,1312,0,24854,123,7518,11,2271,1587,521,7810,9106,3491,3787,6047,575,583,53,125.48,406.53,1491.99,0.22,0.56,0.11,4.03,0.35,5.89,1.15,8.8999996,20.5,0.4884570561384291,51.5699
Angola,Africa,2006,35.17517773687147,1649.889541203048,1153.912927764498,398.81833016797646,755.0945975965196,809.9547342698241,20149905,4.5,4132,564,144,7543,17567,1300,698,2280,9927,36,17573,17544,20295,20245,141,1349,0,25475,124,7770,12,2364,1638,521,7398,9212,3506,3896,6217,572,527,55.36,128.16,409.68,1525.8,0.22,0.56,0.11,4.03,0.35,5.88,1.14,8.8999996,21.1,0.5061059096804674,52.3688
Angola,Africa,2007,17.94309475854561,2120.0147170367645,1452.2868879427094,485.0622228872308,967.2246650554786,1253.614492167114,20905360,4.5,4088,589,149,7168,16328,1280,729,2307,10340,38,17340,17760,19824,20250,143,1369,105,23500,125,7969,34,2426,1672,524,7029,9294,3486,3980,6357,571,444,60.12,131.48,422.91,1558.49,0.22,0.56,0.11,4.03,0.35,5.87,1.13,8.8000002,21.7,0.5237699805217418,53.6419
Angola,Africa,2008,64.6453938271706,2957.6649827818783,1861.3427193173088,686.1947979419225,1175.1479213753864,1995.1602079780744,21695636,4.6,4021,619,156,6738,13805,1242,760,2295,10889,40,17022,18305,19196,20218,147,1402,7,22463,126,8294,5,2532,1729,515,6602,9360,3519,4121,6585,567,371,64.08,141.2,435.78,1603.94,0.22,0.56,0.12,4.04,0.35,5.85,1.12,8.8000002,22.3,0.5414610569609483,54.6327
Angola,Africa,2009,0.8856247786541295,1834.8630175732376,1939.58162252924,621.3897786694708,1318.1918438597645,1988.864190562521,22514275,4.7,3901,653,164,6231,11334,1188,791,2335,11433,43,16302,18809,18235,20276,153,1453,62,21581,125,8640,28,2650,1789,505,6098,9360,3523,4314,6873,556,326,59.16,146.8,442.8,1654.24,0.22,0.56,0.12,4.04,0.35,5.84,1.11,8.8000002,22.9,0.559154580815949,55.7516
Angola,Africa,2010,-1.4059621614447604,2208.094787095324,1895.8407347684713,611.4593347569624,1284.381400011971,1527.739075589276,23356247,4.7,3861,690,172,5928,10045,1170,824,2332,12036,45,15756,19340,17676,20369,158,1501,25,21148,124,9025,23,2779,1853,506,5798,9512,3547,4520,7181,559,307,63.72,150.44,447.39,1683.45,0.22,0.56,0.12,4.04,0.35,5.84,1.11,8.8000002,23.6,0.576868449798463,56.7258
Angola,Africa,2011,1.474444689190059,2800.203678970961,2410.1183522237216,841.6707951622128,1568.4475570615084,1814.4596515300864,24220660,4.7,3740,730,181,5462,8972,1114,844,2323,12798,49,15127,19923,16863,20325,164,1551,130,20827,123,9408,7,2914,1916,497,5335,9523,3564,4700,7471,550,299,69.28,154.88,472.68,1710.16,0.22,0.56,0.13,4.04,0.35,5.84,1.11,8.6999998,24.2,0.5945964313111204,57.5961
Angola,Africa,2012,-0.6762196364699153,2853.002310817389,2715.9180411327857,909.992089950456,1805.9259511823295,1828.893975071823,25107925,4.8,3642,771,191,5074,8550,1076,865,2304,13533,52,14655,20537,16241,20305,170,1604,0,20245,123,9803,6,3057,1982,489,4950,9524,3598,4867,7739,545,292,73.72,148.64,474.57,1687.07,0.22,0.56,0.13,4.04,0.35,5.84,1.1,8.6999998,24.8,0.612331923088029,58.6231
Argentina,America,2000,117.0273184553054,849.7433194361087,7084.647846380588,1150.3605949112327,5934.287251442225,886.5860273338037,36870796,9.1,591,7516,2081,1779,6,920,2544,399,1753,42,1045,91977,17874,6168,999,4394,19,760,94,67318,0,9715,11362,278,1693,5439,14803,5971,12632,717,55,270.92,148.24,1048.41,1792.43,0.33,1.05,0.33,5.44,0.68,2.8,2.56,23.700001,54.4,0.9117575058591086,73.926
Argentina,America,2001,95.8315481373352,835.8704457683763,6620.759538608776,1104.8202813007042,5515.9392573080695,731.739379749152,37275644,9.1,576,7763,2125,1806,6,915,2581,437,1767,45,1007,91810,19379,6002,943,4546,33,745,66,68241,0,9807,11823,274,1718,5486,15184,6040,12830,714,53,257.48,147.64,1029.51,1777.37,0.33,1.05,0.33,5.44,0.68,2.81,2.55,23.6,54.9,0.915926013243393,74.1864
Argentina,America,2002,30.35332722406604,753.828343867026,2218.9070099230576,358.5484180546638,1860.3585918683937,344.4501295802851,37681743,9.2,586,8016,2182,1903,5,893,2691,473,1829,46,1001,93054,20952,6218,896,4600,21,759,62,69686,0,9917,12360,286,1810,5504,15645,6171,13140,715,49,218.36,143.32,892.62,1722.7,0.33,1.07,0.33,5.45,0.69,2.81,2.53,23.6,55.5,0.9200704436628636,74.408
Argentina,America,2003,48.26848314748771,854.18351715609106,2807.741821982912,421.15782671731466,2386.583995265607,480.1872382678489,38087866,9.3,591,8268,2246,1886,5,836,2430,460,1878,44,969,93723,22545,6186,888,4463,32,736,60,70855,0,10038,12674,288,1792,5531,16143,6255,13399,711,49,224.96,145.24,890.37,1748.43,0.33,1.09,0.32,5.45,0.7,2.81,2.5,23.6,56,0.9241935738799332,74.0801
Argentina,America,2004,71.45791380319272,1028.1258137496704,3252.6567743399987,479.1775663811621,2773.4792079588287,726.2279081080756,38491970,9.2,577,8476,2249,1751,5,766,2061,448,1747,44,906,91239,23215,5763,865,4290,7,686,58,70656,0,9835,12517,294,1664,5506,16012,6171,13287,694,48,222.8,144.24,912.06,1748.9,0.33,1.11,0.32,5.46,0.71,2.82,2.48,23.4,56.6,0.9283014872972208,74.8549
Argentina,America,2005,79.28944859669846,1199.0970567792408,3877.5749220291073,626.3162383142959,3251.2586837059616,892.6678713136301,38892924,9.1,561,8710,2257,1614,4,737,1957,429,1620,46,861,89381,23776,5141,860,4283,14,651,59,70761,0,9627,12468,305,1536,5622,15961,6242,13363,731,45,243.84,140.52,963.9,1758.74,0.33,1.11,0.32,5.46,0.71,2.82,2.46,23.200001,57.1,0.9323926635086628,75.1388
Argentina,America,2006,20.838187687359003,1373.7012980905438,4516.003937504894,741.5004339641795,3774.503503540708,1038.4349089993948,39289876,9,552,9010,2308,1537,4,718,2242,450,1692,49,834,89434,24781,4872,857,4310,3,643,56,71641,0,9476,12676,291,1461,5801,16102,6414,13639,705,43,250.28,142.76,965.88,1755.08,0.33,1.11,0.32,5.43,0.72,2.79,2.42,22.700001,57.6,0.9364691810175222,75.4326
Argentina,America,2007,42.57026067431448,1654.7218806869382,5514.137343817806,948.4161528918524,4565.721190925969,1334.8918602304418,39684303,8.9,554,9368,2408,1514,4,718,1894,467,1727,52,835,91606,26506,5055,864,4504,14,650,93,73495,0,9603,13170,306,1440,6094,16808,6743,14194,734,41,253.56,141.76,996.75,1752.93,0.33,1.11,0.33,5.38,0.73,2.73,2.38,22.200001,58.2,0.9405293574136856,75.0057
Argentina,America,2008,51.32638670281622,2012.5778860786304,6997.947342387664,1243.7618964157475,5754.185445963974,1673.2883104445243,40080159,8.9,552,9633,2397,1417,4,695,2340,438,1714,54,796,89122,26764,5055,843,4549,11,649,54,72954,0,9193,12992,296,1349,6202,16506,6720,14143,718,39,255.52,141.88,1001.61,1758.99,0.33,1.11,0.33,5.31,0.74,2.67,2.32,21.700001,58.7,0.9445753695737584,75.6411
Argentina,America,2009,39.16387269247848,1625.263882229222,6554.073703457934,1321.407326648045,5232.666376803241,1204.4411723332923,40482786,9.3,556,9999,2442,1368,4,668,2399,489,1721,57,783,89543,27964,4849,812,4574,22,660,52,73515,0,9151,13172,296,1304,6281,16632,6828,14370,716,37,253.32,140.16,998.37,1740.15,0.33,1.11,0.33,5.26,0.74,2.61,2.28,21.200001,59.2,0.9486054640606998,75.9359
Argentina,America,2010,111.25979213760226,1979.736219872722,8301.902987669573,1585.530872063515,6716.372115606076,1676.861822925991,40788453,9.8,558,10411,2544,1352,0,652,2452,440,1651,60,760,91734,29690,4794,775,4584,7,687,52,74506,0,9202,13550,294,1284,6349,17202,6977,14748,717,35,255.8,141.44,1013.4,1744.36,0.33,1.11,0.34,5.24,0.75,2.59,2.26,20.5,59.7,0.9551260500122424,75.7208
Argentina,America,2011,147.7828997967463,2370.491002980387,10267.335720493831,2015.8333060033096,8251.50241449051,2153.056484740932,41261490,9.8,554,10756,2603,1320,0,636,2535,418,1611,65,755,92474,31052,4622,751,4680,2,710,48,75294,0,9237,13762,295,1250,6449,17508,7179,15121,715,35,261.4,141.08,1010.97,1747.55,0.34,1.11,0.34,5.25,0.75,2.59,2.25,19.799999,60.2,0.957963078890268,76.124
Argentina,America,2012,89.78678070275177,2262.270147244686,11361.44204976727,2319.0542529730465,9042.387796794215,1990.709481363948,41733271,9.8,490,11042,2643,1290,0,625,2743,391,1733,68,745,92630,32009,4332,732,4782,4,723,48,75967,0,9237,13942,294,1218,6551,17593,7383,15460,703,34,265.4,142.48,1033.29,1755.83,0.34,1.11,0.34,5.27,0.75,2.59,2.25,19.299999,60.7,0.961048440224108,76.4669
Armenia,Europe,2000,0.8121772689717054,174.13511387096318,702.9110402591448,67.18060278074647,635.7304374783986,329.22759362382425,3069597,10.8,21,369,93,44,0,162,143,16,1,6,137,12379,470,504,99,127,0,109,155,4696,0,1253,171,35,18,335,1060,504,868,85,5,79.36,181.96,372.15,1602.53,0.29,0.57,0.09,3.33,0.5,3,2.56,26.700001,46.5,0.91591241456126,70.6236
Armenia,Europe,2001,14.651380310718736,211.56027765110537,754.4320895725649,71.59306515388899,682.8390244192683,335.193754817759,3050686,10.7,19,382,99,39,0,146,125,9,1,6,143,12708,452,476,94,137,0,87,155,4862,1,1323,184,34,16,332,1078,552,933,85,5,81.8,179.2,384.03,1593.97,0.29,0.57,0.1,3.33,0.5,3.01,2.53,26.4,47,0.9170003074718276,70.932
Armenia,Europe,2002,3.9752358812377886,275.0557603931122,804.7789011083246,71.45789322386004,733.3210078844625,381.6647327688947,3033976,10.8,17,394,106,33,0,129,125,5,1,6,154,12961,445,447,89,146,0,68,154,4948,0,1368,194,32,13,319,1128,606,997,77,5,94.44,170.76,438.66,1555.14,0.29,0.57,0.1,3.34,0.51,3.02,2.45,26.200001,47.4,0.9182976397967552,71.0179
Armenia,Europe,2003,11.41505689579925,357.755437648285,900.9998310694654,86.73152586336002,814.2683052061043,486.7950782239397,3017938,10.8,16,413,114,26,0,112,111,10,1,6,155,13310,454,427,76,156,0,56,152,5086,0,1421,207,30,10,311,1168,663,1072,74,5,102.28,178.32,517.41,1633.99,0.29,0.57,0.1,3.35,0.51,3.04,2.35,26.200001,47.8,0.9196742941703904,71.4356
Armenia,Europe,2004,11.45342147519388,423.969279890866,1144.1070152418906,110.7688141980518,1033.338201043838,564.7983418487627,3000715,10.8,14,433,120,16,0,95,134,9,2,7,154,13287,483,413,76,180,1,47,150,5103,0,1364,217,27,6,290,1162,725,1157,66,6,104.56,195.68,503.55,1750.21,0.29,0.57,0.1,3.35,0.51,3.05,2.26,26.200001,48.3,0.9210511494760416,71.4205
Armenia,Europe,2005,9.312116667229784,566.489374943705,1462.9471656838514,158.43561305738746,1304.511552626465,743.2678477675629,2981262,10.9,13,461,129,11,0,83,150,9,4,7,156,13498,520,396,72,211,0,39,151,5248,1,1360,230,25,4,283,1188,814,1277,60,6,120.2,189.28,567.09,1791.43,0.29,0.58,0.11,3.36,0.51,3.06,2.22,26.299999,48.8,0.922426811196064,71.7922
Armenia,Europe,2006,4.8138364729590055,603.0559890961027,1838.036706063761,198.93299151874268,1639.1037145458324,886.0304764852934,2958301,10.9,12,491,138,7,0,70,161,11,10,8,165,13660,567,376,67,249,1,33,162,5409,2,1355,236,24,3,274,1214,923,1419,54,7,125.68,197.88,597.96,1835.48,0.3,0.58,0.11,3.36,0.52,3.07,2.21,26.299999,49.3,0.9238045756669117,71.9868
Armenia,Europe,2007,22.54661788815763,720.491192153358,2655.551166194366,291.7495241829183,2363.801642011447,1285.5717864341177,2932615,11,10,519,144,6,0,64,194,8,7,8,161,13487,573,349,67,264,0,28,138,5427,16,1331,271,23,2,267,1213,959,1464,53,6,139.84,189.04,689.58,1742.54,0.3,0.58,0.11,3.36,0.52,3.07,2.21,26.299999,49.8,0.925181109692203,72.3271
Armenia,Europe,2008,39.43688391262323,721.9598094103002,3392.290136977605,374.8019322498061,3017.4882047277993,1705.6313016344668,2907615,11,10,550,151,5,0,60,160,14,12,9,161,13622,577,335,65,277,1,25,153,5604,6,1361,283,20,2,264,1208,1030,1557,51,7,154.88,195.52,735.03,1783.57,0.3,0.58,0.12,3.36,0.52,3.08,2.2,26.299999,50.3,0.9265590526943904,72.3985
Armenia,Europe,2009,-60.73124639205649,554.2931386540707,2894.4584056249037,364.8121770865734,2529.6462285383336,1346.9128805568205,2888094,11.1,9,577,153,5,0,58,154,12,12,10,150,13478,572,321,63,286,1,23,143,5635,5,1355,309,19,2,260,1201,1071,1617,49,8,151.84,186.48,700.83,1779.85,0.3,0.58,0.12,3.35,0.52,3.08,2.2,26.4,50.8,0.9279362098325056,72.8125
Armenia,Europe,2010,-24.482023072472455,801.9562840387215,3158.187183709255,384.2965864581794,2773.890597251072,1525.5469750941086,2877314,11.1,8,614,159,5,0,57,154,7,10,10,138,13493,570,302,62,296,1,20,127,5672,4,1345,334,20,2,257,1196,1101,1668,48,7,156.76,177.2,736.83,1697.21,0.3,0.58,0.12,3.35,0.53,3.08,2.19,26.4,51.3,0.9293135889930678,73.1597
Armenia,Europe,2011,39.876920793793296,1002.0049792869652,3516.8470957268046,416.3906131382398,3100.4564825885577,1746.3882206521837,2876536,11.2,7,647,162,4,0,54,151,8,10,10,127,13432,567,284,61,306,1,19,109,5697,5,1321,353,20,2,263,1207,1129,1714,48,6,158.4,185.6,748.8,1695.2,0.3,0.58,0.12,3.36,0.53,3.09,2.16,26.6,51.8,0.930690942160988,73.3045
Armenia,Europe,2012,39.84187458724052,1014.7831542776344,3563.6500825639973,401.6879506588011,3161.962131905182,1782.007948642675,2884239,11.3,7,681,164,4,0,53,193,7,20,9,117,13268,559,258,62,308,2,16,77,5672,9,1282,385,20,1,267,1217,1116,1718,50,4,169.24,181.76,840.24,1690.76,0.3,0.58,0.13,3.36,0.53,3.11,2.11,26.700001,52.3,0.932069083040622,73.454
Australia,Asia_Pacific,2000,42.711492455962144,4743.548644085047,16313.00524411236,3795.3898360070175,12517.61540810536,4725.144258958738,19153000,11.9,79,5658,1354,124,0,243,340,17,162,896,82,48690,2838,651,412,2584,3,80,37,37009,1,3030,2405,55,94,2050,7587,1437,4219,143,10,271.48,133.72,1170.09,1415.71,0.42,1.21,0.86,5.61,2.34,4.92,1.98,21.4,56.3,0.9914766877251604,79.6309
Australia,Asia_Pacific,2001,25.576865382531498,4174.703924359383,15174.914086864575,3525.5577524371142,11649.356334427444,4176.329121013898,19413000,11.9,78,5935,1417,125,0,233,338,17,146,782,84,48397,2940,640,418,2502,4,87,34,37485,4,3134,2502,49,97,1973,7608,1466,4307,122,10,270.64,132.48,1208.34,1436.54,0.42,1.21,0.89,5.66,2.33,4.98,1.96,20.9,56.9,0.9886662545716788,80.0165
Australia,Asia_Pacific,2002,-23.00272361129319,4228.519903852916,16849.688577802648,3896.41808171487,12953.27049608776,4694.878007068412,19651400,11.8,75,6213,1494,132,0,225,324,17,133,752,81,48557,3097,632,431,2449,1,97,35,38098,0,3292,2632,50,102,1930,7743,1532,4482,160,11,273,146.24,1180.53,1477.23,0.42,1.22,0.93,5.78,2.33,5.07,1.93,20.4,57.5,0.9871891570066256,80.0639
Australia,Asia_Pacific,2003,125.46859573878936,4828.6013720445935,21203.084357627493,4910.584619195296,16292.4997384322,5590.409915150738,19895400,11.8,73,6470,1552,134,0,216,304,13,134,767,78,47950,3181,620,442,2426,3,106,38,37909,0,3419,2718,54,104,1890,7735,1581,4581,144,11,280.4,158.16,1178.91,1486.53,0.42,1.23,0.98,5.92,2.33,5.17,1.88,19.9,58.1,0.9862795420046844,80.4549
